20230119	00:20:31	e35f010d-a87b-4f7e-8878-bf90f6d972bc	GET	undefined	/css/style.css
20230119	00:20:36	21470b5f-4be4-4456-af23-2dbdffded5bc	GET	undefined	/favicon.ico
20230119	00:23:40	6b729be3-564c-4917-8af6-e50bc737412c	OPTIONS	https://www.bing.com	/
20230119	00:23:40	32239564-4269-4c73-a1ce-7a70ef57612a	GET	https://www.bing.com	/
20230119	00:24:16	0127c356-fbdc-4bf9-abab-71643eee56e3	OPTIONS	https://www.bing.com	/
20230119	00:24:16	80b3fd53-a84e-4987-8aa3-4995e4916db0	GET	https://www.bing.com	/
20230119	00:24:29	3c560a79-2b10-40f6-96fb-e18b168794c9	GET	undefined	/
20230119	00:25:27	0f694002-4348-459e-8a4b-2733db20f031	GET	undefined	/
20230119	00:38:28	057e8d94-bac7-410f-8888-e45ca37cd919	GET	undefined	/
20230119	00:38:28	46f725d0-b7b6-4dbb-9915-7fdade2cb108	GET	undefined	/css/style.css
20230119	00:38:28	2ad52f2d-38e7-476c-804f-50aa05277396	GET	undefined	/favicon.ico
20230119	00:39:47	d52a95d0-16c2-4f61-8d92-16a787907d7c	GET	undefined	/
20230119	00:39:47	973fa5e0-4972-48f0-b05c-ee79387ebf13	GET	undefined	/css/style.css
20230119	00:40:01	c9463bae-ea07-4e52-a927-7d6f6f368833	GET	undefined	/
20230119	00:40:01	12710e24-c65f-4199-b975-ad5905ad3ed3	GET	undefined	/css/style.css
20230119	00:40:19	bb4a48e9-4edc-479e-a610-b1524a8fb537	OPTIONS	https://www.bing.com	/
20230119	00:40:19	635a0af0-b503-4e5d-8025-845117dd5524	GET	https://www.bing.com	/
20230119	00:53:41	d7cd417e-0159-4733-8af4-31ec6f6c8be5	GET	undefined	/
20230119	00:53:41	2ad69e5c-2ff4-4344-9631-77429a806651	GET	undefined	/css/style.css
20230119	00:54:07	3797dea5-3d77-4e91-8177-b9327250e0b0	GET	undefined	/css/style.css
20230119	00:54:38	e8bc8b7d-402a-40de-afd9-d5d75d13e720	OPTIONS	https://www.bing.com	/
20230119	00:54:38	393df458-4422-418a-a3e3-c933820ddd1f	GET	https://www.bing.com	/
20230119	00:56:55	e39c574c-2370-4fe3-b2d0-beb9bf260994	GET	undefined	/
20230119	00:59:02	f0d34970-e0a0-4bc1-bd4c-a30186e54db7	GET	undefined	/
20230119	00:59:02	2fcd37c8-879c-4a7c-9ff0-07945cba9b00	GET	undefined	/css/style.css
20230119	00:59:03	94fa1dae-9a27-4da4-8fca-d8f51c6ffaf2	GET	undefined	/
20230119	00:59:03	756f922e-f629-444f-a88a-19a4b2940075	GET	undefined	/css/style.css
20230119	00:59:04	407073cb-7d81-4e10-9797-123a7aa6363d	GET	undefined	/
